395,0,0,0,0
324,0,0,0,0
97,0,0,0,0
497,0,0,0,0
109,1,1,1,1
499,0,1,0,0
281,0,0,0,0
609,0,0,0,0
692,0,0,0,1
580,1,1,1,1
78,1,1,1,1
630,0,0,0,0
478,1,0,0,1
746,1,1,1,1
687,0,0,0,0
558,0,0,1,0
659,0,0,0,0
542,0,0,0,0
39,0,0,0,0
231,1,1,1,1
443,1,0,0,1
697,0,0,0,0
174,1,1,1,0
448,1,1,1,1
487,0,0,0,1
506,1,1,1,1
388,1,1,1,1
727,1,1,1,1
181,0,0,0,0
591,1,1,1,1
567,0,0,0,0
538,1,0,0,0
31,1,1,1,1
220,0,0,0,1
292,0,0,0,0
541,0,0,0,0
66,0,1,1,1
350,1,0,0,0
213,1,1,1,1
210,0,0,0,0
683,0,0,0,0
417,0,0,0,0
517,0,0,0,0
77,1,1,1,1
622,0,0,0,0
717,0,0,0,0
336,1,1,1,0
120,1,0,0,1
625,1,1,1,1
212,1,1,1,1
382,0,0,0,0
356,0,0,0,0
434,0,0,0,0
633,1,1,1,0
656,0,0,0,0
54,0,0,0,0
331,1,1,1,1
712,0,0,0,0
500,0,0,0,0
84,1,1,1,1
473,1,1,1,1
33,0,0,0,0
265,1,1,1,1
118,1,0,0,1
599,0,0,0,0
363,1,1,1,1
726,1,1,1,0
381,0,0,0,0
409,0,1,1,1
10,0,0,0,0
340,0,0,0,0
758,0,0,0,0
192,0,0,0,0
155,0,0,0,0
357,1,1,1,1
234,1,1,1,1
547,1,1,1,1
302,0,0,0,0
65,0,0,0,0
204,1,1,1,1
572,1,1,1,1
511,1,1,0,0
81,0,0,0,0
597,1,1,1,1
328,0,0,0,0
457,0,0,0,0
306,0,0,0,0
720,1,1,1,1
76,0,0,0,0
296,0,0,0,0
516,1,1,1,1
72,0,0,0,0
593,1,1,1,1
420,0,0,0,0
737,1,1,1,1
63,1,0,0,0
651,1,1,1,1
355,0,0,0,0
669,1,1,1,1
49,0,0,0,0
369,0,0,0,0
244,0,0,0,0
756,0,0,0,0
522,1,0,0,0
439,0,0,0,0
429,1,0,0,1
7,1,1,1,1
215,0,0,0,0
23,0,1,0,0
193,1,1,0,0
101,0,0,0,0
755,0,0,0,0
351,0,1,1,0
259,1,1,1,1
718,0,1,1,1
617,1,1,1,1
550,0,0,0,0
346,0,0,0,0
86,0,0,0,0
291,0,0,0,0
2,1,1,1,1
684,0,0,0,0
658,0,1,1,0
660,0,0,0,0
199,0,0,0,0
30,1,0,0,0
632,0,0,0,0
706,0,0,0,0
462,0,1,1,1
137,0,0,0,0
588,0,0,0,0
332,0,0,0,0
79,0,0,0,0
314,1,1,1,1
468,1,1,1,1
723,1,1,1,1
148,1,1,1,1
133,1,0,0,0
208,1,0,0,0
55,1,1,1,1
653,0,0,0,0
449,1,1,1,1
528,1,0,0,0
513,0,0,0,0
235,0,0,0,0
453,0,0,0,0
60,0,0,0,0
548,0,0,0,0
610,0,0,0,0
247,1,1,1,1
311,1,1,1,1
333,0,0,0,0
