291,1,0,0,1,0
536,0,0,0,0,0
39,0,0,0,0,0
77,1,1,1,1,1
493,0,0,0,0,0
174,0,0,0,0,0
260,0,0,0,0,0
356,0,1,1,1,1
587,0,0,0,0,0
677,1,0,0,1,0
711,0,0,0,0,0
462,1,0,0,1,0
465,0,0,0,0,0
495,0,0,0,0,0
208,1,1,0,1,1
199,1,0,0,0,0
625,0,0,0,0,0
118,1,1,1,1,1
533,0,0,0,0,0
148,1,1,1,1,1
567,1,1,1,1,1
628,1,1,1,0,1
631,1,1,1,1,1
54,0,0,0,0,0
649,1,1,1,1,1
741,1,1,1,1,1
97,1,1,1,1,1
66,0,1,0,1,1
542,0,0,0,0,0
487,1,1,1,1,1
591,0,0,0,0,0
181,1,1,1,1,1
299,0,0,0,0,0
518,1,1,1,0,1
575,1,1,1,1,1
511,0,0,0,0,0
445,1,1,1,1,1
473,0,0,0,0,0
323,0,0,0,0,0
609,0,0,0,0,0
582,0,0,0,0,0
81,0,1,1,0,1
346,0,0,0,0,0
101,1,1,1,1,1
594,0,0,0,0,0
679,0,0,0,0,0
407,1,1,1,1,1
534,1,0,0,0,0
33,0,0,0,0,0
158,1,1,1,1,1
78,0,0,0,0,0
721,1,1,1,1,1
215,1,0,1,1,1
682,0,0,0,0,0
155,0,0,0,0,0
399,0,0,0,0,0
635,1,1,1,1,1
10,0,0,0,0,0
405,0,0,0,0,0
120,0,0,0,0,0
31,1,1,1,1,1
457,0,0,0,0,0
109,1,0,0,1,0
467,1,1,1,1,1
192,1,1,1,0,1
558,0,0,0,0,0
735,0,0,0,0,0
133,0,0,0,0,0
294,1,1,1,1,1
65,0,0,0,0,0
623,0,0,0,0,0
432,1,0,0,0,0
486,0,0,0,0,0
499,0,0,0,0,0
361,1,1,1,1,1
446,0,0,0,0,0
570,0,0,0,0,0
235,1,1,1,1,1
76,0,0,0,0,0
275,0,0,0,0,0
72,0,0,0,0,0
218,0,0,0,1,0
375,0,0,0,0,0
165,0,0,0,0,0
63,1,0,0,1,0
708,0,0,0,0,0
234,0,0,0,0,0
49,0,0,0,0,0
651,0,0,0,0,0
371,1,1,1,1,1
266,1,1,1,1,1
543,1,1,1,1,1
164,0,0,0,0,0
428,1,0,0,1,0
7,1,1,1,1,1
678,0,0,0,0,0
23,0,0,0,0,0
417,0,0,0,0,0
750,0,0,0,0,0
751,0,0,0,0,0
588,1,0,0,1,0
449,0,0,0,1,0
227,0,0,0,0,0
602,1,1,1,1,1
409,0,0,0,0,0
86,0,0,0,0,0
634,1,1,1,1,1
2,1,1,1,1,1
363,0,0,0,0,0
254,1,0,0,1,0
30,1,0,1,0,0
627,0,0,0,0,0
701,0,0,0,0,0
451,0,0,0,0,0
655,0,0,0,0,0
332,0,0,0,0,0
424,1,0,0,1,0
596,0,0,0,0,0
394,1,0,0,0,0
690,0,0,0,0,0
503,0,0,0,0,0
377,0,0,0,0,0
712,0,0,0,0,0
490,0,0,0,0,0
84,1,1,1,1,1
324,0,0,0,0,0
79,1,1,1,1,1
281,0,0,0,0,0
306,0,0,0,0,0
211,1,1,1,1,1
581,1,0,0,0,0
431,0,0,0,0,0
549,0,0,0,0,0
55,1,1,1,1,1
302,0,0,0,0,0
605,0,0,0,0,0
523,1,0,0,0,0
329,0,0,0,0,0
220,0,0,0,0,0
333,1,1,1,1,1
60,0,0,0,0,0
693,0,0,0,0,0
250,0,0,0,0,0
654,0,0,0,0,0
603,1,1,1,1,1
351,0,0,0,0,0
433,1,1,1,1,1
259,1,1,1,1,1
90,1,1,1,0,1
593,0,0,0,0,0
210,0,0,0,0,0
